world_id,object_a,object_b,heuristic_label,gazebo_contact
world5_occlusion_scene,obj_cereal_box,obj_tissue_box,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_cup,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_notebook,Separate,0
world5_occlusion_scene,obj_bottle,obj_jar,Contact,0
world5_occlusion_scene,obj_tissue_box,obj_cup,Contact,0
world5_occlusion_scene,obj_tissue_box,obj_bowl,Separate,0
world5_occlusion_scene,obj_bowl,obj_apple,Contact,0
world5_occlusion_scene,obj_bowl,obj_can,Contact,0
world5_occlusion_scene,obj_remote,obj_book,Support,1
world5_occlusion_scene,obj_notebook,obj_book,Contact,1
world5_occlusion_scene,obj_plate,obj_mug,Contact,0
world5_occlusion_scene,obj_mug,obj_sponge,Separate,0
world5_occlusion_scene,obj_sponge,obj_container,Contact,1
world5_occlusion_scene,obj_sponge,obj_toy,Separate,0
world5_occlusion_scene,obj_container,obj_toy,Support,1
world5_occlusion_scene,obj_container,obj_banana,Contact,0
world5_occlusion_scene,obj_cereal_box,obj_bottle,Separate,0
world5_occlusion_scene,obj_bottle,obj_jar,Contact,0
world5_occlusion_scene,obj_tissue_box,obj_cup,Contact,0
world5_occlusion_scene,obj_bowl,obj_apple,Contact,0
world5_occlusion_scene,obj_bowl,obj_can,Contact,0
world5_occlusion_scene,obj_bowl,obj_mug,Separate,0
world5_occlusion_scene,obj_remote,obj_notebook,Contact,1
world5_occlusion_scene,obj_remote,obj_book,Support,1
world5_occlusion_scene,obj_notebook,obj_book,Contact,1
world5_occlusion_scene,obj_plate,obj_mug,Contact,0
world5_occlusion_scene,obj_mug,obj_sponge,Separate,0
world5_occlusion_scene,obj_sponge,obj_container,Contact,1
world5_occlusion_scene,obj_container,obj_toy,Support,1
world5_occlusion_scene,obj_container,obj_banana,Contact,0
world5_occlusion_scene,obj_toy,obj_banana,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_bottle,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_tissue_box,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_cup,Separate,0
world5_occlusion_scene,obj_bottle,obj_jar,Contact,0
world5_occlusion_scene,obj_tissue_box,obj_cup,Contact,0
world5_occlusion_scene,obj_tissue_box,obj_bowl,Separate,0
world5_occlusion_scene,obj_bowl,obj_apple,Contact,0
world5_occlusion_scene,obj_bowl,obj_can,Contact,0
world5_occlusion_scene,obj_remote,obj_notebook,Contact,1
world5_occlusion_scene,obj_remote,obj_book,Support,1
world5_occlusion_scene,obj_notebook,obj_book,Contact,1
world5_occlusion_scene,obj_plate,obj_mug,Contact,0
world5_occlusion_scene,obj_mug,obj_sponge,Separate,0
world5_occlusion_scene,obj_mug,obj_container,Separate,0
world5_occlusion_scene,obj_mug,obj_banana,Separate,0
world5_occlusion_scene,obj_sponge,obj_container,Contact,1
world5_occlusion_scene,obj_container,obj_toy,Support,1
world5_occlusion_scene,obj_container,obj_banana,Contact,0
world5_occlusion_scene,obj_toy,obj_banana,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_notebook,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_book,Separate,0
world5_occlusion_scene,obj_bottle,obj_jar,Contact,0
world5_occlusion_scene,obj_bottle,obj_notebook,Separate,0
world5_occlusion_scene,obj_bottle,obj_book,Separate,0
world5_occlusion_scene,obj_tissue_box,obj_cup,Contact,0
world5_occlusion_scene,obj_tissue_box,obj_bowl,Separate,0
world5_occlusion_scene,obj_tissue_box,obj_plate,Separate,0
world5_occlusion_scene,obj_bowl,obj_apple,Contact,0
world5_occlusion_scene,obj_bowl,obj_can,Contact,0
world5_occlusion_scene,obj_bowl,obj_mug,Separate,0
world5_occlusion_scene,obj_bowl,obj_banana,Separate,0
world5_occlusion_scene,obj_apple,obj_can,Separate,0
world5_occlusion_scene,obj_notebook,obj_book,Contact,1
world5_occlusion_scene,obj_plate,obj_mug,Contact,0
world5_occlusion_scene,obj_mug,obj_sponge,Separate,0
world5_occlusion_scene,obj_sponge,obj_container,Contact,1
world5_occlusion_scene,obj_sponge,obj_banana,Separate,0
world5_occlusion_scene,obj_container,obj_toy,Support,1
world5_occlusion_scene,obj_container,obj_banana,Contact,0
world5_occlusion_scene,obj_cereal_box,obj_bottle,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_jar,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_tissue_box,Separate,0
world5_occlusion_scene,obj_bottle,obj_jar,Contact,0
world5_occlusion_scene,obj_tissue_box,obj_cup,Contact,0
world5_occlusion_scene,obj_tissue_box,obj_bowl,Separate,0
world5_occlusion_scene,obj_bowl,obj_apple,Contact,0
world5_occlusion_scene,obj_bowl,obj_can,Contact,0
world5_occlusion_scene,obj_remote,obj_book,Support,1
world5_occlusion_scene,obj_notebook,obj_book,Contact,1
world5_occlusion_scene,obj_plate,obj_mug,Contact,0
world5_occlusion_scene,obj_mug,obj_sponge,Separate,0
world5_occlusion_scene,obj_sponge,obj_container,Contact,1
world5_occlusion_scene,obj_container,obj_toy,Support,1
world5_occlusion_scene,obj_container,obj_banana,Contact,0
world5_occlusion_scene,obj_toy,obj_banana,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_bottle,Separate,0
world5_occlusion_scene,obj_bottle,obj_jar,Contact,0
world5_occlusion_scene,obj_tissue_box,obj_cup,Contact,0
world5_occlusion_scene,obj_bowl,obj_apple,Contact,0
world5_occlusion_scene,obj_bowl,obj_can,Contact,0
world5_occlusion_scene,obj_remote,obj_book,Support,1
world5_occlusion_scene,obj_notebook,obj_book,Contact,1
world5_occlusion_scene,obj_plate,obj_mug,Contact,0
world5_occlusion_scene,obj_mug,obj_sponge,Separate,0
world5_occlusion_scene,obj_mug,obj_banana,Separate,0
world5_occlusion_scene,obj_sponge,obj_container,Contact,1
world5_occlusion_scene,obj_container,obj_toy,Support,1
world5_occlusion_scene,obj_container,obj_banana,Contact,0
world5_occlusion_scene,obj_toy,obj_banana,Separate,0
world6_dense_mixed,obj_bottle,obj_cereal_box,Separate,0
world6_dense_mixed,obj_cereal_box,obj_tissue_box,Separate,0
world6_dense_mixed,obj_cereal_box,obj_ruler,Separate,0
world6_dense_mixed,obj_tissue_box,obj_bowl,Separate,0
world6_dense_mixed,obj_tissue_box,obj_ruler,Support,1
world6_dense_mixed,obj_bowl,obj_apple,Contact,0
world6_dense_mixed,obj_bowl,obj_ruler,Support,1
world6_dense_mixed,obj_apple,obj_ruler,Separate,0
world6_dense_mixed,obj_notebook,obj_remote,Support,1
world6_dense_mixed,obj_notebook,obj_pen,Support,1
world6_dense_mixed,obj_remote,obj_pen,Contact,0
world6_dense_mixed,obj_plate,obj_spoon,Support,1
world6_dense_mixed,obj_plate,obj_fork,Contact,1
world6_dense_mixed,obj_plate,obj_knife,Contact,1
world6_dense_mixed,obj_jar,obj_cereal_box,Contact,1
world6_dense_mixed,obj_tissue_box,obj_ruler,Support,1
world6_dense_mixed,obj_bowl,obj_apple,Contact,0
world6_dense_mixed,obj_bowl,obj_ruler,Support,1
world6_dense_mixed,obj_notebook,obj_remote,Support,1
world6_dense_mixed,obj_notebook,obj_pen,Support,1
